datetime,temperature_c,humidity_pct,weather_condition,wind_speed_kmh,wind_direction,visibility,cloud_cover_pct,rainfall_mm
2026-03-30 17:00:00,30,78,Partly Cloudy,13.9,E,> 10 km,86,0.1
2026-03-30 20:00:00,28,83,Partly Cloudy,12.6,E,> 10 km,88,0.1
2026-03-30 23:00:00,27,88,Partly Cloudy,6.4,NE,> 10 km,81,0.0
2026-03-31 02:00:00,26,91,Partly Cloudy,3.2,N,> 10 km,84,0.0
2026-03-31 05:00:00,25,95,Partly Cloudy,2.9,E,< 6 km,82,0.0
2026-03-31 08:00:00,28,83,Sunny,3.4,N,> 10 km,42,0.2
2026-03-31 11:00:00,32,70,Partly Cloudy,11.0,E,> 10 km,76,0.0
2026-03-31 14:00:00,32,67,Partly Cloudy,14.2,E,> 10 km,88,0.4
2026-03-31 17:00:00,30,75,Sunny,13.9,E,> 10 km,24,0.0
2026-03-31 20:00:00,29,83,Partly Cloudy,11.4,E,> 10 km,69,0.0
2026-03-31 23:00:00,28,89,Sunny,9.0,E,> 10 km,48,0.0
2026-04-01 02:00:00,26,94,Partly Cloudy,4.7,E,> 10 km,63,0.0
2026-04-01 05:00:00,25,94,Partly Cloudy,6.2,E,< 9 km,72,0.0
2026-04-01 08:00:00,28,82,Sunny,6.9,NE,> 10 km,31,0.1
2026-04-01 11:00:00,32,75,Sunny,15.0,E,> 10 km,18,0.1
2026-04-01 14:00:00,32,77,Sunny,15.0,E,> 10 km,54,0.5
2026-04-01 17:00:00,28,84,Partly Cloudy,11.3,E,< 10 km,85,0.5
2026-04-01 20:00:00,27,90,Partly Cloudy,11.3,E,< 10 km,87,0.1
2026-04-01 23:00:00,26,90,Sunny,8.8,E,> 10 km,44,0.1
